date,presence,estimation,unit,source,source_detailed
19751205,yes,,,KH,DZB1211-500005L001001
19800922,yes,,,KH,DZB1216-500393L004001
19751205,yes,,,KH,D3C1211-500005T002
19800907,yes,,,KH,D3C1216-300636F018
19730222,no,,,MSS,LM01_L1GS_060114_19730222_20200909_02_T2_TOA.TIF
19721213,yes,,,MSS,LM01_L1GS_062113_19721213_20200909_02_T2_TOA.TIF
19721128,yes,,,MSS,LM01_L1GS_064113_19721128_20200909_02_T2_TOA.TIF
19730102,unclear,,,MSS,LM01_L1GS_064113_19730102_20200909_02_T2_TOA.TIF
19721128,yes,,,MSS,LM01_L1GS_065113_19721128_20200909_02_T2_TOA.TIF
19651029,yes,,,study,Cranfield HJ. Emperor penguin rookeries of Victoria Land. Antarctic. 1966;4:365-6.
19881215,yes,,,TM,Multispectral_LT04_L2SR_060113_19881215_20200917_02_T2_MTL
19891114,yes,,,TM,Multispectral_LT04_L2SR_062113_19891114_20200916_02_T2_MTL
19991214,yes,,,ETM,Multispectral_LE07_L2SR_060113_19991214_20200918_02_T2_MTL
